from,to,distance,accessible
room_gf_100,corridor_gf_22,21.57,true
corridor_gf_22,room_gf_100,21.57,true
room_gf_101,corridor_gf_11,60.55,true
corridor_gf_11,room_gf_101,60.55,true
room_gf_101,corridor_gf_54,61.05,true
corridor_gf_54,room_gf_101,61.05,true
room_gf_101,corridor_gf_12,62.62,true
corridor_gf_12,room_gf_101,62.62,true
room_gf_101,corridor_gf_55,62.89,true
corridor_gf_55,room_gf_101,62.89,true
room_gf_101,corridor_gf_53,87.17,true
corridor_gf_53,room_gf_101,87.17,true
room_gf_101,corridor_gf_42,91.01,true
corridor_gf_42,room_gf_101,91.01,true
room_gf_101,corridor_gf_56,92.54,true
corridor_gf_56,room_gf_101,92.54,true
room_gf_101,corridor_gf_57,109.0,true
corridor_gf_57,room_gf_101,109.0,true
room_gf_102,corridor_gf_11,54.17,true
corridor_gf_11,room_gf_102,54.17,true
room_gf_103,corridor_gf_12,39.8,true
corridor_gf_12,room_gf_103,39.8,true
room_gf_103,corridor_gf_55,44.35,true
corridor_gf_55,room_gf_103,44.35,true
room_gf_103,corridor_gf_11,51.05,true
corridor_gf_11,room_gf_103,51.05,true
room_gf_103,corridor_gf_54,59.73,true
corridor_gf_54,room_gf_103,59.73,true
room_gf_103,corridor_gf_56,69.32,true
corridor_gf_56,room_gf_103,69.32,true
room_gf_103,corridor_gf_57,85.84,true
corridor_gf_57,room_gf_103,85.84,true
room_gf_103,corridor_gf_53,92.37,true
corridor_gf_53,room_gf_103,92.37,true
room_gf_103,corridor_gf_13,101.13,true
corridor_gf_13,room_gf_103,101.13,true
room_gf_104,corridor_gf_56,71.17,true
corridor_gf_56,room_gf_104,71.17,true
room_gf_105,corridor_gf_42,128.64,true
corridor_gf_42,room_gf_105,128.64,true
room_gf_106,corridor_gf_12,55.11,true
corridor_gf_12,room_gf_106,55.11,true
room_gf_107,corridor_gf_11,93.98,true
corridor_gf_11,room_gf_107,93.98,true
room_gf_108,corridor_gf_42,105.02,true
corridor_gf_42,room_gf_108,105.02,true
room_gf_109,corridor_gf_11,73.82,true
corridor_gf_11,room_gf_109,73.82,true
room_gf_110,corridor_gf_16,66.11,true
corridor_gf_16,room_gf_110,66.11,true
room_gf_110,corridor_gf_26,67.21,true
corridor_gf_26,room_gf_110,67.21,true
room_gf_110,corridor_gf_63,67.89,true
